close,date,high,low,mcap,open,volume
3960.91,2019-03-15,3968.54,3914.02,69675002377.0,3926.66,9394210605.0
3924.37,2019-03-14,3946.5,3901.3,69024696307.0,3905.58,10480789570.0
3906.72,2019-03-13,3926.6,3891.9,68706700381.0,3913.05,9469184841.0
3909.16,2019-03-12,3926.89,3863.56,68743000581.0,3903.76,9809887079.0
3905.23,2019-03-11,3966.38,3889.24,68666928025.0,3953.74,10125901903.0
3951.6,2019-03-10,3966.17,3924.38,69475297370.0,3966.17,9713267607.0
3963.31,2019-03-09,3987.24,3892.39,69674508655.0,3894.55,10796103518.0
3901.13,2019-03-08,3950.43,3875.23,68574579320.0,3913.23,10638638944.0
3911.48,2019-03-07,3939.37,3894.11,68749421311.0,3903.38,9584165519.0
3903.94,2019-03-06,3919.51,3871.46,68609885776.0,3897.08,9175291529.0
3896.38,2019-03-05,3903.92,3745.18,68470655400.0,3759.83,10174126415.0
3761.56,2019-03-04,3867.38,3733.75,66094551587.0,3845.09,9029175788.0
3847.18,2019-03-03,3875.48,3836.91,67592376373.0,3862.27,7253558152.0
3864.42,2019-03-02,3874.61,3832.13,67888255371.0,3855.32,7578786076.0
3859.58,2019-03-01,3907.8,3851.69,67796965743.0,3853.76,7661247975.0
3854.79,2019-02-28,3906.06,3845.82,67704774107.0,3848.26,8399767798.0
3851.05,2019-02-27,3888.8,3787.06,67631949500.0,3857.48,8301309684.0
3854.36,2019-02-26,3891.58,3837.99,67683296223.0,3878.7,7931218996.0
3882.7,2019-02-25,3913.71,3807.0,68173204651.0,3807.0,9318796067.0
3810.43,2019-02-24,4210.64,3793.71,66897483404.0,4145.46,10794227451.0
4142.53,2019-02-23,4166.29,3968.73,72720867208.0,3998.92,8922258316.0
4005.53,2019-02-22,4006.54,3950.82,70308555857.0,3952.41,7826525254.0
3954.12,2019-02-21,4010.01,3940.11,69398333876.0,4000.26,7775128102.0
3999.82,2019-02-20,4000.49,3926.25,70194350042.0,3946.68,8693373948.0
3947.09,2019-02-19,4010.88,3908.15,69262673238.0,3911.66,9933626655.0
3915.71,2019-02-18,3936.67,3669.98,68704389994.0,3671.37,9908216640.0
3673.84,2019-02-17,3680.54,3619.18,64453368779.0,3633.36,7039512503.0
3629.79,2019-02-16,3652.84,3615.27,63673369195.0,3615.27,5934744052.0
3620.81,2019-02-15,3647.8,3608.21,63509111125.0,3617.37,6091952231.0
3616.88,2019-02-14,3646.26,3607.7,63434486052.0,3631.17,6271044418.0
3632.07,2019-02-13,3669.75,3617.25,63694394519.0,3653.6,6438903823.0
3653.53,2019-02-12,3668.59,3618.56,64063755250.0,3642.75,6480384532.0
3648.43,2019-02-11,3695.61,3642.29,63968390250.0,3695.61,6277056434.0
3690.19,2019-02-10,3695.04,3640.98,64694025951.0,3673.2,6282256903.0
3671.2,2019-02-09,3679.94,3646.56,64354732475.0,3671.59,6158833645.0
3666.78,2019-02-08,3695.61,3391.02,64270269953.0,3401.38,7735623101.0
3399.47,2019-02-07,3427.95,3394.22,59578075991.0,3414.93,5004962683.0
3413.77,2019-02-06,3469.09,3398.57,59821158612.0,3469.09,5482196038.0
3466.36,2019-02-05,3478.15,3451.94,60735563490.0,3454.95,5227549545.0
3459.15,2019-02-04,3476.22,3442.59,60603083461.0,3467.21,5332718886.0
3464.01,2019-02-03,3521.39,3447.92,60681847608.0,3516.14,5043937584.0
3521.06,2019-02-02,3523.29,3467.57,61675119055.0,3484.63,5071623601.0
3487.95,2019-02-01,3501.95,3431.59,61088747491.0,3460.55,5422926707.0
3457.79,2019-01-31,3504.8,3447.92,60553903927.0,3485.41,5831198271.0
3486.18,2019-01-30,3495.17,3429.39,61044262622.0,3443.9,5955112627.0
3448.12,2019-01-29,3476.07,3400.82,60371874099.0,3468.87,5897159493.0
3470.45,2019-01-28,3586.75,3439.23,60756570314.0,3584.28,6908930483.0
3583.97,2019-01-27,3612.67,3567.25,62737274093.0,3604.69,5570752966.0
3602.46,2019-01-26,3654.93,3593.35,63054898963.0,3599.72,5098183235.0
3599.77,2019-01-25,3612.93,3575.6,63000985908.0,3607.39,5265847539.0
3600.87,2019-01-24,3616.09,3569.09,63014066012.0,3584.5,5262869046.0
3585.12,2019-01-23,3623.07,3565.31,62731361272.0,3605.56,5433755649.0
3604.58,2019-01-22,3620.75,3539.72,63065139424.0,3575.08,5313623556.0
3576.03,2019-01-21,3608.84,3558.54,62559869612.0,3600.37,5004347059.0
3601.01,2019-01-20,3743.39,3583.02,62990143284.0,3725.45,5582489560.0
3728.57,2019-01-19,3758.53,3652.38,65214103659.0,3652.38,5955691380.0
3657.84,2019-01-18,3682.52,3637.08,63970991867.0,3677.99,5002961727.0
3678.56,2019-01-17,3680.14,3621.96,64327048255.0,3651.87,5464420383.0
3655.01,2019-01-16,3685.78,3624.67,63909348776.0,3631.51,5394457145.0
3630.68,2019-01-15,3720.15,3619.95,63477817959.0,3704.22,5537192302.0
3706.05,2019-01-14,3727.84,3552.29,64789619995.0,3557.31,5651384490.0
3552.95,2019-01-13,3674.76,3544.93,62106461671.0,3658.87,4681302466.0
3661.3,2019-01-12,3698.98,3653.81,63994140882.0,3686.97,4778170883.0
3687.37,2019-01-11,3713.88,3653.07,64443301117.0,3674.02,5538712865.0
3678.92,2019-01-10,4064.07,3659.17,64288932886.0,4034.41,6874143796.0
4035.3,2019-01-09,4068.4,4022.66,70508733459.0,4031.55,5115905225.0
4030.85,2019-01-08,4109.02,3996.96,70422743854.0,4028.47,5306593305.0
4025.25,2019-01-07,4092.61,4020.89,70316305580.0,4078.59,5228625637.0
4076.63,2019-01-06,4093.3,3826.51,71206795853.0,3836.52,5597027440.0
3845.19,2019-01-05,3904.9,3836.9,67157570935.0,3851.97,5137609824.0
3857.72,2019-01-04,3865.93,3783.85,67368333500.0,3832.04,4847965467.0
3836.74,2019-01-03,3935.69,3826.22,66994920903.0,3931.05,4530215219.0
3943.41,2019-01-02,3947.98,3817.41,68849856732.0,3849.22,5244856836.0
3843.52,2019-01-01,3850.91,3707.23,67098634181.0,3746.71,4324200990.0
3742.7,2018-12-31,3868.74,3725.87,65331499158.0,3866.84,4661840806.0
3865.95,2018-12-30,3901.91,3797.22,67475512827.0,3822.38,4770578575.0
3820.41,2018-12-29,3963.76,3820.41,66672244158.0,3932.49,4991655917.0
3923.92,2018-12-28,3956.14,3642.63,68471837969.0,3653.13,5631554348.0
3654.83,2018-12-27,3874.42,3645.45,63768757101.0,3854.69,5130222366.0
3857.3,2018-12-26,3893.36,3769.86,67292819465.0,3819.67,5326547918.0
3815.49,2018-12-25,4089.56,3760.02,66556033172.0,4081.03,6158207293.0
4078.6,2018-12-24,4271.79,4000.33,71137548589.0,4000.33,7240968501.0
3998.98,2018-12-23,4085.72,3976.41,69741217417.0,4020.99,6151275490.0
4014.18,2018-12-22,4014.18,3855.74,69997508295.0,3898.08,5605823233.0
3896.54,2018-12-21,4198.43,3850.95,67937650255.0,4133.7,7206015706.0
4134.44,2018-12-20,4191.23,3728.97,72078243771.0,3742.2,8927129279.0
3745.95,2018-12-19,3949.32,3687.23,65299132785.0,3706.82,6810689119.0
3696.06,2018-12-18,3701.35,3487.17,64422587801.0,3544.76,5911325473.0
3545.86,2018-12-17,3597.92,3253.12,61798926687.0,3253.12,5409247918.0
3252.84,2018-12-16,3305.75,3233.82,56685436644.0,3236.27,3744248994.0
3236.76,2018-12-15,3275.38,3191.3,56400691425.0,3244.0,3551763561.0
3242.48,2018-12-14,3329.56,3206.54,56494379457.0,3311.75,4372763663.0
3313.68,2018-12-13,3489.74,3298.13,57728688216.0,3487.88,4343372456.0
3486.95,2018-12-12,3534.23,3413.48,60741625426.0,3421.46,4139364829.0
3424.59,2018-12-11,3513.18,3392.25,59650201102.0,3497.55,4696765188.0
3502.66,2018-12-10,3647.33,3470.14,61004445982.0,3612.05,5020968740.0
3614.23,2018-12-09,3685.31,3469.09,62942160928.0,3473.23,4947372847.0
3476.11,2018-12-08,3506.04,3350.65,60531278392.0,3421.91,5305024497.0
3419.94,2018-12-07,3512.59,3280.23,59547645578.0,3512.59,6835615448.0
3521.1,2018-12-06,3874.97,3521.1,61303965508.0,3754.07,5878333109.0
3753.99,2018-12-05,3969.54,3753.99,65352496336.0,3958.89,5302481574.0
3956.89,2018-12-04,4075.63,3832.75,68878292608.0,3886.29,5028069239.0
3894.13,2018-12-03,4155.98,3840.45,67779050170.0,4147.32,5089570994.0
4139.88,2018-12-02,4301.52,4110.98,72050487506.0,4200.73,5262697895.0
4214.67,2018-12-01,4309.38,3969.71,73346194969.0,4024.46,5375314093.0
4017.27,2018-11-30,4322.98,3942.82,69904637061.0,4289.09,6048016717.0
4278.85,2018-11-29,4413.02,4145.77,74451016927.0,4269.0,6503347767.0
4257.42,2018-11-28,4385.9,3822.47,74072560088.0,3822.47,7280280000.0
3820.72,2018-11-27,3862.96,3661.01,66468970322.0,3765.95,5998720000.0
3779.13,2018-11-26,4107.14,3643.92,65739289046.0,4015.07,6476900000.0
4009.97,2018-11-25,4120.87,3585.06,69749265801.0,3880.78,6825640000.0
3880.76,2018-11-24,4413.09,3795.16,67495633205.0,4347.69,4679500000.0
4347.11,2018-11-23,4396.42,4195.68,75598851166.0,4360.7,4871490000.0
4365.94,2018-11-22,4629.64,4365.64,75919439809.0,4611.57,4569370000.0
4602.17,2018-11-21,4675.73,4343.98,80020171047.0,4465.54,6120120000.0
4451.87,2018-11-20,4951.61,4272.11,77401044320.0,4863.93,8428290000.0
4871.49,2018-11-19,5620.78,4842.91,84688539692.0,5620.78,7039560000.0
5623.54,2018-11-18,5653.61,5559.74,97753714643.0,5559.74,4159680000.0
5554.33,2018-11-17,5578.58,5519.56,96542098114.0,5578.58,4303150000.0
5575.55,2018-11-16,5657.02,5498.94,96900828780.0,5645.32,5279320000.0
5648.03,2018-11-15,5774.82,5358.38,98151606541.0,5736.15,7032140000.0
5738.35,2018-11-14,6371.55,5544.09,99712077259.0,6351.24,7398940000.0
6359.49,2018-11-13,6395.27,6342.67,110494466204.0,6373.19,4503800000.0
6371.27,2018-11-12,6434.21,6360.47,110689666528.0,6411.76,4295770000.0
6411.27,2018-11-11,6423.25,6350.17,111373453740.0,6413.63,3939060000.0
6409.22,2018-11-10,6437.28,6385.31,111326145314.0,6386.13,3705320000.0
6385.62,2018-11-09,6456.46,6373.37,110905767441.0,6442.6,4346820000.0
6453.72,2018-11-08,6536.92,6438.53,112078367037.0,6522.27,4665260000.0
6530.14,2018-11-07,6552.16,6468.31,113395632955.0,6468.5,4941260000.0
6461.01,2018-11-06,6463.55,6408.16,112095603776.0,6433.38,4700040000.0
6419.66,2018-11-05,6480.59,6363.62,111456211022.0,6363.62,4174800000.0
6376.13,2018-11-04,6388.63,6294.57,110689215104.0,6365.47,4390020000.0
6361.26,2018-11-03,6400.07,6342.37,110421212888.0,6387.24,3658640000.0
6388.44,2018-11-02,6396.86,6327.38,110880236966.0,6378.92,4234870000.0
