Restaurant Clusters,Latitude,Longitude,Count
Restaurant Clusters 123,41.90963323,-87.78531552,23
Restaurant Clusters 124,41.80817907,-87.67451999,29
Restaurant Clusters 125,41.75626711,-87.7031582,12
Restaurant Clusters 126,41.79209042,-87.62268002,19
Restaurant Clusters 127,41.74032961,-87.5629849,57
Restaurant Clusters 128,41.8794624,-87.72422003,73
Restaurant Clusters 129,41.8634406,-87.66527321,82
Restaurant Clusters 130,41.96197586,-87.67810175,101
Restaurant Clusters 131,41.90029,-87.74974473,27
Restaurant Clusters 132,41.6881879,-87.6207717,98
Restaurant Clusters 133,41.77822817,-87.70264364,29
Restaurant Clusters 134,41.84178054,-87.70917632,34
Restaurant Clusters 135,41.82710521,-87.68400956,26
Restaurant Clusters 136,41.74951241,-87.55269029,26
Restaurant Clusters 137,41.79726396,-87.67442569,29
Restaurant Clusters 138,41.9632196,-87.6485703,113
Restaurant Clusters 139,41.93901303,-87.80540776,25
Restaurant Clusters 140,41.70384756,-87.59661881,6
Restaurant Clusters 141,41.93605712,-87.66027018,16
Restaurant Clusters 142,41.85076437,-87.66017149,82
Restaurant Clusters 143,41.76314296,-87.58798719,52
Restaurant Clusters 144,41.97908008,-87.69271263,93
Restaurant Clusters 145,41.99785267,-87.68570835,54
Restaurant Clusters 146,41.76654228,-87.72252039,126
Restaurant Clusters 147,41.79636147,-87.70369721,42
Restaurant Clusters 148,41.92847572,-87.7390328,29
Restaurant Clusters 149,41.85419457,-87.67140578,36
Restaurant Clusters 150,41.858943,-87.70715835,38
Restaurant Clusters 151,41.96522857,-87.6574229,212
Restaurant Clusters 152,41.74821276,-87.74059351,18
Restaurant Clusters 153,41.97204151,-87.7128686,10
Restaurant Clusters 154,41.92335747,-87.76495702,37
Restaurant Clusters 155,41.96085231,-87.7249369,101
Restaurant Clusters 156,41.76335838,-87.66326829,59
Restaurant Clusters 157,41.78830088,-87.80095394,87
Restaurant Clusters 158,41.72231207,-87.57467177,90
Restaurant Clusters 159,41.88117606,-87.68753607,153
Restaurant Clusters 160,41.93995252,-87.68596762,95
Restaurant Clusters 161,41.93921606,-87.66847754,3
Restaurant Clusters 162,41.87887198,-87.73593985,84
Restaurant Clusters 163,41.89352978,-87.70541152,54
Restaurant Clusters 164,41.96219291,-87.77086553,41
Restaurant Clusters 165,41.75232606,-87.57617605,144
Restaurant Clusters 166,42.00680989,-87.77553887,51
Restaurant Clusters 167,41.8702565,-87.74642395,51
Restaurant Clusters 168,41.87079901,-87.69929443,38
Restaurant Clusters 169,41.84415162,-87.65492043,23
Restaurant Clusters 170,41.96800218,-87.6955965,62
Restaurant Clusters 171,41.82961422,-87.69209174,24
Restaurant Clusters 172,41.78123025,-87.66757155,37
Restaurant Clusters 173,41.84709552,-87.63315884,17
Restaurant Clusters 174,41.85222918,-87.62456781,15
Restaurant Clusters 175,41.941225,-87.73643027,31
Restaurant Clusters 176,42.01211366,-87.80745252,91
Restaurant Clusters 177,41.91057047,-87.69803707,7
Restaurant Clusters 178,41.99672731,-87.76436918,82
Restaurant Clusters 179,41.92931907,-87.65105486,38
Restaurant Clusters 180,41.79454054,-87.66373707,73
Restaurant Clusters 181,41.73593866,-87.65206652,16
Restaurant Clusters 182,41.88125547,-87.73147665,72
Restaurant Clusters 183,41.95545806,-87.749275,24
Restaurant Clusters 184,41.95422066,-87.78980296,66
Restaurant Clusters 185,41.91035647,-87.79863189,27
Restaurant Clusters 186,41.95141841,-87.66562176,11
Restaurant Clusters 187,41.7796621,-87.65251141,22
Restaurant Clusters 188,41.77801024,-87.76959398,92
Restaurant Clusters 189,41.92461484,-87.69986687,114
Restaurant Clusters 190,41.80390773,-87.74335626,25
Restaurant Clusters 191,41.92964287,-87.79400858,126
Restaurant Clusters 192,41.76568231,-87.68565508,31
Restaurant Clusters 193,41.67896717,-87.68084311,60
Restaurant Clusters 194,41.95072771,-87.77375545,29
Restaurant Clusters 195,41.70694265,-87.6392046,78
Restaurant Clusters 196,41.7578661,-87.63323661,60
Restaurant Clusters 197,41.94092242,-87.70135313,19
Restaurant Clusters 198,41.73794917,-87.62015327,73
Restaurant Clusters 199,41.79393643,-87.64549665,26
Restaurant Clusters 200,41.93039314,-87.71491991,79
Restaurant Clusters 201,41.89250782,-87.61200035,26
Restaurant Clusters 202,41.96851562,-87.76234788,58
Restaurant Clusters 203,41.89534207,-87.7571949,76
Restaurant Clusters 204,41.88575419,-87.74974684,7
Restaurant Clusters 205,41.90507528,-87.66972621,51
Restaurant Clusters 206,41.87806446,-87.62763565,46
Restaurant Clusters 207,41.90399679,-87.63003301,28
Restaurant Clusters 208,41.89437029,-87.65582126,50
Restaurant Clusters 209,41.96835736,-87.72086704,60
Restaurant Clusters 210,41.70533807,-87.53424897,33
Restaurant Clusters 211,41.95273838,-87.72892111,86
Restaurant Clusters 212,41.9657637,-87.7077031,132
Restaurant Clusters 213,41.78054377,-87.7239172,49
Restaurant Clusters 214,41.84788612,-87.67428289,72
Restaurant Clusters 215,41.86120905,-87.72807125,87
Restaurant Clusters 216,41.87840328,-87.74527141,75
Restaurant Clusters 217,41.86372492,-87.68678685,14
Restaurant Clusters 218,41.99569024,-87.72555712,85
Restaurant Clusters 219,41.97322759,-87.86695767,37
Restaurant Clusters 220,41.81429604,-87.64608756,59
Restaurant Clusters 221,41.78687409,-87.65375085,72
Restaurant Clusters 222,41.94236121,-87.75512319,44
Restaurant Clusters 223,41.79430485,-87.59910238,6
Restaurant Clusters 224,41.72421842,-87.60274179,26
Restaurant Clusters 225,41.98320181,-87.6594288,65
Restaurant Clusters 226,41.87286631,-87.7254876,46
Restaurant Clusters 227,41.91095307,-87.67817279,90
Restaurant Clusters 228,41.94829593,-87.80759155,41
Restaurant Clusters 229,41.89841944,-87.66658749,106
Restaurant Clusters 230,41.85658423,-87.65425178,34
Restaurant Clusters 231,41.91740062,-87.72891542,12
Restaurant Clusters 232,42.0127893,-87.70201946,50
Restaurant Clusters 233,41.93986986,-87.71201714,170
Restaurant Clusters 234,41.77706069,-87.63243042,31
Restaurant Clusters 235,41.89992118,-87.67735389,67
Restaurant Clusters 236,41.89101999,-87.6260563,9
Restaurant Clusters 237,41.93489836,-87.64339183,57
Restaurant Clusters 238,41.85188475,-87.69361051,25
Restaurant Clusters 239,41.99603356,-87.67687963,34
Restaurant Clusters 240,41.68113253,-87.53966692,11
Restaurant Clusters 241,41.66981915,-87.64147877,25
Restaurant Clusters 242,41.87792667,-87.67120922,115
Restaurant Clusters 243,41.71000549,-87.55533248,75
Restaurant Clusters 244,41.80712829,-87.60853187,18
Restaurant Clusters 245,41.75075701,-87.63317914,93
Restaurant Clusters 246,41.89607975,-87.7122019,46
Restaurant Clusters 247,41.80140921,-87.64559615,20
Restaurant Clusters 248,41.8870838,-87.63268123,63
Restaurant Clusters 249,41.96960406,-87.6792597,50
Restaurant Clusters 250,41.76535535,-87.62614192,62
Restaurant Clusters 251,41.98248391,-87.8057647,25
Restaurant Clusters 252,41.92801183,-87.8029803,101
Restaurant Clusters 253,41.90289304,-87.72493319,141
Restaurant Clusters 254,41.70432848,-87.71094827,62
Restaurant Clusters 255,41.81261201,-87.7035411,66
Restaurant Clusters 256,41.97134864,-87.74540265,81
Restaurant Clusters 257,41.91215887,-87.77414392,18
Restaurant Clusters 258,41.9509147,-87.68788247,19
Restaurant Clusters 259,41.95408208,-87.64943799,58
Restaurant Clusters 260,41.89208955,-87.62054634,54
Restaurant Clusters 261,41.77774757,-87.78080764,25
Restaurant Clusters 262,41.95570211,-87.65415172,46
Restaurant Clusters 263,41.92356065,-87.78665331,29
Restaurant Clusters 264,42.00254802,-87.67212784,80
Restaurant Clusters 265,41.99567333,-87.69171354,35
Restaurant Clusters 266,41.78839943,-87.6914253,97
Restaurant Clusters 267,41.81956933,-87.69966363,25
Restaurant Clusters 268,41.86413317,-87.71721877,64
Restaurant Clusters 269,41.79330401,-87.77801561,49
Restaurant Clusters 270,41.79490222,-87.63210537,70
Restaurant Clusters 271,41.75297899,-87.6114046,53
Restaurant Clusters 272,41.77858201,-87.69504379,57
Restaurant Clusters 273,41.93962709,-87.65216675,18
Restaurant Clusters 274,41.73664956,-87.60509238,38
Restaurant Clusters 275,41.81267099,-87.66547248,41
Restaurant Clusters 276,41.93150448,-87.76284807,102
Restaurant Clusters 277,41.65507531,-87.60804156,27
Restaurant Clusters 278,41.8094449,-87.59470098,41
Restaurant Clusters 279,41.92148529,-87.66508455,54
Restaurant Clusters 280,41.73836906,-87.62971624,33
Restaurant Clusters 281,41.9758634,-87.65586993,36
Restaurant Clusters 282,41.97948114,-87.66926963,9
Restaurant Clusters 283,41.99343978,-87.65939461,48
Restaurant Clusters 284,41.74999571,-87.58589344,121
Restaurant Clusters 285,41.99296054,-87.6700902,28
Restaurant Clusters 286,41.78919037,-87.71721591,18
Restaurant Clusters 287,41.84979961,-87.70313027,20
Restaurant Clusters 288,41.98918233,-87.73587905,119
Restaurant Clusters 289,41.73753263,-87.64262716,39
Restaurant Clusters 290,41.87989028,-87.63307101,54
Restaurant Clusters 291,41.79856646,-87.72328226,52
Restaurant Clusters 292,42.01043872,-87.67424057,95
Restaurant Clusters 293,41.77016465,-87.64706617,30
Restaurant Clusters 294,42.0182065,-87.68856357,63
Restaurant Clusters 295,41.70173594,-87.67935325,38
Restaurant Clusters 296,41.75343541,-87.62477952,16
Restaurant Clusters 297,41.93111479,-87.77634726,65
Restaurant Clusters 298,41.76540942,-87.57134964,104
Restaurant Clusters 299,41.90849945,-87.65322014,35
Restaurant Clusters 300,42.00035364,-87.66291179,64
